,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
76,2017-10-14,Watford,Arsenal,2,1,H,11,11,12,8,1.5,1.625,D,W,L,W,D,W,W,D,W,L,20.0,6.0,8.0,DWLWD,WWDWL,8,10,0,0,0,0,0,0,0,0,-0.125,0.375,-0.125,-0.25,14.0
77,2017-10-15,Brighton,Everton,1,1,NH,5,4,9,12,0.875,0.875,L,W,L,W,D,L,W,L,L,L,15.0,18.0,8.0,LWLWD,LWLLL,7,3,0,0,0,0,0,0,1,0,-0.5,-1.0,0.0,0.5,-3.0
78,2017-10-15,Southampton,Newcastle,2,2,NH,5,7,7,6,1.0,1.25,L,L,W,L,D,D,L,W,W,W,19.0,18.0,8.0,LLWLD,DLWWW,4,10,0,0,0,0,1,0,0,0,-0.25,0.125,-0.25,-0.75,1.0
79,2017-10-16,Leicester,West Brom,1,1,NH,9,6,12,8,0.625,1.125,D,L,D,L,L,D,L,D,L,D,4.0,13.0,8.0,DLDLL,DLDLD,2,3,0,0,0,0,0,0,0,0,-0.375,-0.25,-0.5,-0.125,-9.0
80,2017-10-20,West Ham,Brighton,0,3,NH,8,6,14,10,0.8888888888888888,0.8888888888888888,D,W,L,D,W,D,L,W,L,W,18.0,15.0,9.0,DWLDW,DLWLW,8,7,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.4444444444444444,0.0,0.1111111111111111,3.0
81,2017-10-21,Chelsea,Watford,4,2,H,13,13,8,13,1.4444444444444444,1.6666666666666667,L,L,W,D,W,W,D,W,L,W,18.0,20.0,9.0,LLWDW,WDWLW,7,10,0,0,0,0,0,0,0,0,0.5555555555555556,0.0,-0.2222222222222222,-0.3333333333333333,-2.0
82,2017-10-21,Huddersfield,Man United,2,1,H,5,21,9,2,1.0,2.2222222222222223,L,L,D,D,L,D,W,W,W,D,16.0,18.0,9.0,LLDDL,DWWWD,2,11,0,0,0,0,0,0,0,0,-0.4444444444444444,2.111111111111111,-1.2222222222222223,-1.0,-2.0
83,2017-10-21,Man City,Burnley,3,0,H,29,8,4,6,2.4444444444444446,1.4444444444444444,W,W,W,W,W,D,W,D,D,W,2.0,18.0,9.0,WWWWW,DWDDW,15,9,1,1,0,0,0,0,0,0,2.7777777777777777,0.2222222222222222,1.0,0.6666666666666666,-16.0
84,2017-10-21,Newcastle,Crystal Palace,1,0,H,9,2,8,18,1.2222222222222223,0.3333333333333333,D,D,L,W,W,W,L,L,L,L,18.0,18.0,9.0,DDLWW,WLLLL,8,3,0,0,0,0,0,0,1,0,0.1111111111111111,-1.7777777777777777,0.8888888888888888,0.5555555555555556,0.0
85,2017-10-21,Southampton,West Brom,1,0,H,7,7,9,9,1.0,1.1111111111111112,D,L,L,W,L,D,D,L,D,L,19.0,13.0,9.0,DLLWL,DDLDL,4,3,0,0,0,0,0,0,0,0,-0.2222222222222222,-0.2222222222222222,-0.1111111111111111,0.1111111111111111,6.0
86,2017-10-21,Stoke,Bournemouth,1,2,NH,9,4,18,12,0.8888888888888888,0.4444444444444444,L,W,L,L,D,L,D,L,W,L,18.0,18.0,9.0,LWLLD,LDLWL,4,4,0,0,0,0,0,0,0,0,-1.0,-0.8888888888888888,0.4444444444444444,0.0,0.0
87,2017-10-21,Swansea,Leicester,1,2,NH,5,10,8,13,0.8888888888888888,0.6666666666666666,W,L,L,D,L,D,D,L,D,L,3.0,4.0,9.0,WLLDL,DDLDL,4,3,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.3333333333333333,0.2222222222222222,0.1111111111111111,-1.0
88,2017-10-22,Everton,Arsenal,2,5,NH,5,12,13,10,0.8888888888888888,1.4444444444444444,D,L,W,L,L,L,W,W,D,W,18.0,6.0,9.0,DLWLL,LWWDW,4,10,0,0,0,0,0,0,0,0,-0.8888888888888888,0.2222222222222222,-0.5555555555555556,-0.6666666666666666,12.0
89,2017-10-22,Tottenham,Liverpool,4,1,H,15,13,5,12,1.8888888888888888,1.4444444444444444,W,W,W,D,W,D,D,W,D,L,14.0,1.0,9.0,WWWDW,DDWDL,13,6,0,0,0,0,0,0,0,0,1.1111111111111112,0.1111111111111111,0.4444444444444444,0.7777777777777778,13.0
90,2017-10-28,Arsenal,Swansea,2,1,H,17,6,12,10,1.6,0.8,W,L,W,W,D,L,W,L,L,D,6.0,3.0,10.0,WLWWD,LWLLD,10,4,0,0,0,0,0,0,0,0,0.5,-0.4,0.8,0.6,3.0
91,2017-10-28,Bournemouth,Chelsea,0,1,NH,6,17,13,10,0.7,1.6,W,L,D,L,W,W,L,L,W,D,18.0,18.0,10.0,WLDLW,WLLWD,7,7,0,0,0,0,0,0,0,0,-0.7,0.7,-0.9,0.0,0.0
